# Dow Jones Industrial Average
# symbol = ^DJI
# url = 
#
Symbol	Name	Last Trade	Change	Volume
AAPL	Apple Inc.	107.72 Sep 1	Down 5.04 (4.47%)	76,872,396
AXP	American Express Company	74.00 Sep 1	Down 2.72 (3.55%)	6,101,059
BA	The Boeing Company	127.44 Sep 1	Down 3.24 (2.48%)	5,772,654
CAT	Caterpillar Inc.	74.90 Sep 1	Down 1.54 (2.01%)	9,053,087
CSCO	Cisco Systems, Inc.	25.12 Sep 1	Down 0.76 (2.94%)	32,705,393
CVX	Chevron Corporation	78.19 Sep 1	Down 2.80 (3.46%)	17,954,185
DD	E. I. du Pont de Nemours and Company	50.02 Sep 1	Down 1.48 (2.87%)	6,561,569
DIS	The Walt Disney Company	99.51 Sep 1	Down 2.37 (2.33%)	14,212,592
GE	General Electric Company	23.88 Sep 1	Down 0.94 (3.79%)	65,344,037
GS	The Goldman Sachs Group, Inc.	182.12 Sep 1	Down 6.48 (3.44%)	5,494,486
HD	The Home Depot, Inc.	113.07 Sep 1	Down 2.80 (2.42%)	7,392,883
IBM	International Business Machines Corporation	142.68 Sep 1	Down 5.21 (3.52%)	5,272,016
INTC	Intel Corporation	27.82 Sep 1	Down 0.72 (2.52%)	44,143,954
JNJ	Johnson & Johnson	92.09 Sep 1	Down 1.89 (2.01%)	14,593,543
JPM	JPMorgan Chase & Co.	61.45 Sep 1	Down 2.65 (4.13%)	23,637,264
KO	The Coca-Cola Company	38.75 Sep 1	Down 0.57 (1.45%)	23,703,211
MCD	McDonald's Corp.	93.47 Sep 1	Down 1.55 (1.63%)	7,308,379
MMM	3M Company	138.50 Sep 1	Down 3.64 (2.56%)	3,671,447
MRK	Merck & Co. Inc.	52.53 Sep 1	Down 1.32 (2.45%)	15,747,377
MSFT	Microsoft Corporation	41.82 Sep 1	Down 1.70 (3.91%)	49,688,896
NKE	NIKE, Inc.	108.63 Sep 1	Down 3.12 (2.79%)	4,692,618
PFE	Pfizer Inc.	31.36 Sep 1	Down 0.86 (2.67%)	39,136,107
PG	The Procter & Gamble Company	68.90 Sep 1	Down 1.77 (2.50%)	15,437,707
TRV	The Travelers Companies, Inc.	97.49 Sep 1	Down 2.06 (2.07%)	2,542,002
UNH	UnitedHealth Group Incorporated	112.63 Sep 1	Down 3.07 (2.65%)	4,658,118
UTX	United Technologies Corporation	89.72 Sep 1	Down 1.89 (2.06%)	6,786,583
V	Visa Inc.	68.96 Sep 1	Down 2.34 (3.28%)	11,491,455
VZ	Verizon Communications Inc.	44.90 Sep 1	Down 1.11 (2.41%)	21,096,336
WMT	Wal-Mart Stores Inc.	63.82 Sep 1	Down 0.91 (1.41%)	13,393,949
XOM	Exxon Mobil Corporation	72.08 Sep 1	Down 3.16 (4.20%)	24,092,930
