name,symbol,ISIN
A2A,A2A,IT0001233417
Ansaldo STS,STS,IT0003977540
Atlantia,ATL,IT0003506190
Autogrill,AGL,IT0001137345
Azimut Holding,AZM,IT0003261697
Banca Monte dei Paschi di Siena,BMPS,IT0001334587
Banca Popolare dell'Emilia Romagna,BPE,IT0000066123
Banca Popolare di Milano,PMI,IT0000064482
Banco Popolare,BP,IT0004231566
Buzzi Unicem,BZU,IT0001347308
Campari,CPR,IT0003849244
CNH Industrial,CNHI,NL0010545661
Enel,ENEL,IT0003128367
Enel Green Power,EGPW,IT0004618465
Eni,ENI,IT0003132476
Exor,EXO,IT0001353140
Fiat Chrysler Automobiles,FCA,NL0010877643
Finmeccanica,FNC,IT0003856405
Generali,G,IT0000062072
Intesa Sanpaolo,ISP,IT0000072618
Luxottica,LUX,IT0001479374
Mediaset,MS,IT0001063210
Mediobanca,MB,IT0000062957
Mediolanum,MED,IT0001279501
Moncler,MONC,IT0004965148
Pirelli & C.,PC,IT0004623051
Prysmian,PRY,IT0004176001
Saipem,SPM,IT0000068525
Salvatore Ferragamo,SFER,IT0004712375
Snam,SRG,IT0003153415
STMicroelectronics,STM,NL0000226223
Telecom Italia,TIT,IT0003497168
Tenaris,TEN,LU0156801721
Terna,TRN,IT0003242622
Tod's,TOD,IT0003007728
UBI Banca,UBI,IT0003487029
UniCredit,UCG,IT0004781412
UnipolSai,US,IT0004827447
World Duty Free,WDF,IT0004954662
YOOX,YOOX,IT0003540470
