# FTSE MIB
# symbol = FTSEMIB.MI
# url = 
#
Symbol	Name	Last Trade	Change	Volume
A2A.MI	A2A S.p.A.	1.0720 11:25AM EDT	Down 0.0520 (4.63%)	21,869,828
AGL.MI	Autogrill S.p.A.	7.41 11:25AM EDT	Down 0.50 (6.26%)	2,433,479
ATL.MI	Atlantia SpA	22.32 11:36AM EDT	Down 1.18 (5.02%)	3,785,366
AZM.MI	Azimut Holding Spa	18.84 11:34AM EDT	Down 1.28 (6.36%)	2,574,707
BMPS.MI	Banca Monte dei Paschi di Siena S.p.A.	1.6830 11:34AM EDT	Down 0.1280 (7.07%)	81,823,320
BP.MI	Banco Popolare Societa Cooperativa Scarl	14.30 11:38AM EDT	Down 0.86 (5.67%)	7,003,225
BPE.MI	Banca popolare dell'Emilia Romagna, Società cooperativa. 	7.18 11:34AM EDT	Down 0.47 (6.08%)	7,781,006
BZU.MI	Buzzi Unicem SpA	14.10 11:25AM EDT	Down 0.96 (6.37%)	2,521,910
CNHI.MI	CNH Industrial N.V.	6.66 11:34AM EDT	Down 0.30 (4.31%)	7,179,636
CPR.MI	Davide Campari - Milano SpA	6.38 11:34AM EDT	Down 0.30 (4.56%)	2,631,070
EGPW.MI	Enel Green Power S.p.A.	1.6180 11:35AM EDT	Down 0.0910 (5.32%)	22,073,564
ENEL.MI	Enel SpA	3.7340 11:35AM EDT	Down 0.24 (6.04%)	95,704,584
ENI.MI	Eni SpA	13.14 11:39AM EDT	Down 1.14 (7.98%)	43,344,068
EXO.MI	Exor S.p.A.	38.79 11:34AM EDT	Down 2.24 (5.46%)	982,478
FCA.MI	Fiat Chrysler Automobiles N.V.	12.01 11:34AM EDT	Down 1.01 (7.76%)	31,485,888
FNC.MI	Finmeccanica SpA	11.15 11:34AM EDT	Down 0.45 (3.88%)	6,496,058
G.MI	Assicurazioni Generali S.p.A.	15.80 11:35AM EDT	Down 0.86 (5.16%)	19,422,206
ISP.MI	Intesa Sanpaolo S.p.A.	2.9680 11:36AM EDT	Down 0.1940 (6.14%)	253,567,024
LUX.MI	Luxottica Group SpA	55.60 11:35AM EDT	Down 4.20 (7.02%)	1,963,585
MB.MI	Mediobanca Banca di Credito Finanziario S.p.A.	8.49 11:34AM EDT	Down 0.52 (5.77%)	8,936,766
MED.MI	Mediolanum S.p.A.	6.6750 11:25AM EDT	Down 0.37 (5.25%)	4,854,373
MONC.MI	MONCLER	15.01 11:25AM EDT	Down 0.63 (4.03%)	1,792,597
MS.MI	Mediaset SpA	3.9820 11:36AM EDT	Down 0.1040 (2.55%)	17,849,484
PC.MI	Pirelli & C. SpA	14.88 11:37AM EDT	Down 0.10 (0.67%)	11,521,556
PMI.MI	Banca Popolare di Milano Scarl	0.8905 11:34AM EDT	Down 0.0305 (3.31%)	118,218,200
PRY.MI	Prysmian S.p.A.	18.34 11:34AM EDT	Down 0.94 (4.88%)	2,088,482
SFER.MI	Salvatore Ferragamo SpA	23.99 11:25AM EDT	Down 1.65 (6.44%)	1,220,458
SPM.MI	Saipem SpA	6.95 11:38AM EDT	Down 0.47 (6.27%)	5,605,164
SRG.MI	Snam S.p.A.	4.0620 11:34AM EDT	Down 0.24 (5.58%)	25,983,988
STM.MI	STMicroelectronics NV	5.97 11:34AM EDT	Down 0.33 (5.24%)	10,580,404
STS.MI	Ansaldo STS SpA	9.45 11:25AM EDT	Down 0.03 (0.37%)	5,162,779
TEN.MI	Tenaris S.A.	9.97 11:39AM EDT	Down 1.06 (9.61%)	7,186,146
TIT.MI	Telecom Italia S.p.A.	1.0640 11:34AM EDT	Down 0.06 (5.34%)	200,272,224
TOD.MI	Tod's SpA	80.40 11:25AM EDT	Down 3.55 (4.23%)	312,123
TRN.MI	TERNA - Rete Elettrica Nazionale Società per Azioni 	3.88 11:34AM EDT	Down 0.22 (5.46%)	14,896,416
UBI.MI	Unione di Banche Italiane Scpa	6.59 11:34AM EDT	Down 0.38 (5.38%)	13,596,517
UCG.MI	UniCredit S.p.A.	5.44 11:38AM EDT	Down 0.3650 (6.29%)	131,917,664
US.MI	UnipolSai Assicurazioni S.p.A.	1.9520 11:34AM EDT	Down 0.1180 (5.70%)	19,724,924
WDF.MI	World Duty Free S.p.A.	10.21 11:25AM EDT	Down 0.02 (0.20%)	3,727,281
YOOX.MI	YOOX S.p.A.	25.54 11:36AM EDT	Down 1.87 (6.82%)	1,155,028
