#	FTSE Italia All-Share
#	ITLMS.MI
#	http://finance.yahoo.com/q/cp?s=ITLMS.MI
#Symbol	Name	Last Trade	Change	Volume
A2A.MI	A2A S.p.A.	1.0720 11:25AM EDT	Down 0.0520 (4.63%)	21,869,828
ACE.MI	ACEA S.p.A.	11.77 11:25AM EDT	Down 0.45 (3.68%)	268,896
ACO.MI	Acotel Group SpA	9.82 11:25AM EDT	Down 0.61 (5.80%)	12,419
ACS.MI	Acsm-Agam S.p.A.	1.40 11:25AM EDT	Down 0.04 (3.05%)	49,697
AEF.MI	Aeffe S.p.A.	1.49 11:25AM EDT	Down 0.13 (8.14%)	417,337
AGL.MI	Autogrill S.p.A.	7.41 11:25AM EDT	Down 0.50 (6.26%)	2,433,479
AMP.MI	Amplifon SpA	6.86 11:24AM EDT	Down 0.22 (3.11%)	1,012,629
AP.MI	ANTICHI PELLETTIERI	0.0810 N/A	0.00(0.00%)	0
ARE.MI	ARENA	0.0051 N/A	0.00(0.00%)	0
ASC.MI	Ascopiave S.p.A.	1.9970 11:25AM EDT	Down 0.0630 (3.06%)	437,723
ASR.MI	A.S. Roma S.P.A.	0.58 11:25AM EDT	Down 0.06 (10.08%)	2,349,707
AST.MI	Astaldi SpA	8.66 11:25AM EDT	Down 0.52 (5.66%)	586,793
AT.MI	ASTM S.p.A.	11.08 11:25AM EDT	Down 0.56 (4.81%)	118,743
ATH.MI	AMBIENTHESIS	0.4446 11:25AM EDT	Down 0.0236 (5.04%)	151,297
ATL.MI	Atlantia SpA	22.32 11:36AM EDT	Down 1.18 (5.02%)	3,785,366
AUTME.MI	Autostrade Meridionali S.p.A.	17.70 11:25AM EDT	Down 0.44 (2.43%)	3,588
AZM.MI	Azimut Holding Spa	18.84 11:34AM EDT	Down 1.28 (6.36%)	2,574,707
B.MI	Bastogi S.p.A.	1.5720 11:25AM EDT	Down 0.1390 (8.12%)	29,377
BAN.MI	BasicNet SpA	3.44 11:25AM EDT	Down 0.14 (3.91%)	145,532
BCM.MI	Biancamano S.p.A.	0.40 11:25AM EDT	Down 0.02 (5.44%)	56,847
BDB.MI	Banco di Desio e della Brianza S.p.A.	3.37 11:25AM EDT	Down 0.03 (0.88%)	81,970
BE.MI	Beghelli SpA	0.3989 11:25AM EDT	Down 0.0152 (3.67%)	273,971
BEC.MI	B&C Speakers S.p.A.	6.70 11:25AM EDT	Down 0.38 (5.37%)	12,535
BEST.MI	Best Union Company SpA	2.16 11:25AM EDT	Down 0.07 (3.14%)	11,554
BET.MI	Be Think Solve Execute SpA	0.50 11:34AM EDT	Down 0.03 (5.21%)	714,715
BF.MI	Bonifiche Ferraresi S.p.A. Società Agricola	23.66 11:25AM EDT	Down 1.00 (4.06%)	1,121
BFE.MI	Banca Finnat Euramerica S.p.A.	0.4589 11:25AM EDT	Down 0.0110 (2.34%)	259,958
BGN.MI	Banca Generali S.p.A.	25.48 11:25AM EDT	Down 1.81 (6.63%)	331,369
BIA.MI	Bialetti Industrie S.p.A	0.3639 11:25AM EDT	Down 0.0323 (8.15%)	954,215
BIM.MI	Banca Intermobiliare di Investimenti e Gestioni SpA	3.1220 11:25AM EDT	Down 0.04 (1.27%)	26,671
BLZ.MI	Bolzoni SpA	3.27 11:25AM EDT	Down 0.29 (8.20%)	40,819
BNS.MI	Beni Stabili SpA	0.68 11:25AM EDT	Down 0.03 (4.56%)	7,381,767
BPE.MI	Banca popolare dell'Emilia Romagna, Società cooperativa. 	7.18 11:34AM EDT	Down 0.47 (6.08%)	7,781,006
BPSO.MI	Banca Popolare di Sondrio S.C.p.A.	4.1740 11:25AM EDT	Down 0.1820 (4.18%)	1,071,217
BRE.MI	Brembo SpA	34.96 11:25AM EDT	Down 1.30 (3.59%)	283,609
BRI.MI	Brioschi Sviluppo Immobiliare spa	0.0890 11:25AM EDT	Down 0.0074 (7.68%)	692,899
BSRP.MI	Banco di Sardegna S.p.A.	9.90 11:25AM EDT	Down 0.21 (2.08%)	2,330
BSS.MI	Biesse S.p.A.	14.40 11:25AM EDT	Down 0.78 (5.14%)	180,083
BZU.MI	Buzzi Unicem SpA	14.10 11:25AM EDT	Down 0.96 (6.37%)	2,521,910
CAD.MI	CAD IT SpA	4.0420 11:25AM EDT	Down 0.0680 (1.65%)	3,845
CAI.MI	Cairo Communication SpA	4.12 11:38AM EDT	Down 0.14 (3.20%)	187,852
CARR.MI	Carraro SpA	1.6620 11:25AM EDT	Down 0.0780 (4.48%)	50,208
CASS.MI	Società Cattolica di Assicurazione - Società Cooperativa	6.1250 11:34AM EDT	Down 0.3450 (5.33%)	1,349,400
CE.MI	Credito Emiliano S.p.A.	6.8150 11:25AM EDT	Down 0.2150 (3.06%)	237,671
CED.MI	Caltagirone Editore SpA	0.90 11:25AM EDT	Down 0.01 (1.10%)	150,865
CEM.MI	Cementir Holding SpA	5.37 11:25AM EDT	Down 0.26 (4.53%)	235,552
CHL.MI	Centro HL Distribuzione S.p.A.	0.0380 11:25AM EDT	Down 0.0027 (6.63%)	1,254,721
CIA.MI	Compagnia Immobiliare Azionaria S.p.A.	0.2490 11:25AM EDT	Down 0.0060 (2.35%)	49,080
CIR.MI	Compagnie Industriali Riunite S.p.A.	0.81 11:25AM EDT	Down 0.01 (1.40%)	2,281,214
CLF.MI	Caleffi S.p.A.	0.86 11:25AM EDT	Down 0.05 (5.49%)	45,229
CLT.MI	Centrale del Latte di Torino & C. S.p.A.	3.12 11:25AM EDT	Down 0.23 (6.87%)	72,005
CMB.MI	Cembre S.p.A.	12.96 11:25AM EDT	Down 0.34 (2.56%)	12,596
CNP.MI	Conafi Prestito S.p.A.	0.3096 11:36AM EDT	Down 0.0027 (0.86%)	65,135
COF.MI	COFIDE - Gruppo De Benedetti SpA	0.40 11:25AM EDT	Down 0.02 (5.55%)	247,722
CPR.MI	Davide Campari - Milano SpA	6.38 11:34AM EDT	Down 0.30 (4.56%)	2,631,070
CSP.MI	CSP International Fashion Group SpA	1.2560 11:25AM EDT	Down 0.0680 (5.14%)	27,755
CVAL.MI	Credito Valtellinese Societa Cooperativa	1.1460 11:34AM EDT	Down 0.0590 (4.90%)	7,822,380
DA.MI	DADA SpA	2.5880 11:36AM EDT	Down 0.0460 (1.75%)	10,091
DAL.MI	Datalogic SpA	12.91 11:25AM EDT	Down 0.39 (2.93%)	71,152
DAN.MI	Danieli & C. Officine Meccaniche S.p.A.	17.39 11:25AM EDT	Down 0.31 (1.75%)	96,127
DEA.MI	DeA Capital S.p.A.	1.2650 11:25AM EDT	Down 0.0750 (5.60%)	409,681
DIA.MI	DiaSorin S.p.A.	40.02 11:25AM EDT	Down 1.95 (4.65%)	85,903
DIB.MI	Digital Bros S.p.A.	9.22 11:25AM EDT	Down 1.10 (10.66%)	134,236
DIS.MI	D'Amico International Shipping S.A.	0.6550 11:25AM EDT	Down 0.0155 (2.31%)	3,470,272
DLG.MI	De' Longhi S.p.A.	21.32 11:25AM EDT	Down 1.10 (4.91%)	180,885
DMN.MI	Damiani SpA	1.3130 11:25AM EDT	Down 0.0860 (6.15%)	112,118
ECA.MI	ErgyCapital S.p.A.	0.0880 11:25AM EDT	Down 0.0051 (5.48%)	483,055
EEMS.MI	EEMS Italia SpA	0.1340 11:25AM EDT	Down 0.0080 (5.63%)	2,038,926
EGPW.MI	Enel Green Power S.p.A.	1.6180 11:35AM EDT	Down 0.0910 (5.32%)	22,073,564
EIT.MI	EI TOWERS	54.45 11:25AM EDT	Down 1.20 (2.16%)	30,660
ELC.MI	Elica SpA	1.8770 11:25AM EDT	Down 0.0080 (0.42%)	140,188
ELN.MI	EL.EN. SocietÃ  per Azioni	37.64 11:25AM EDT	Down 2.37 (5.92%)	25,415
EM.MI	Emak SpA	0.8150 11:25AM EDT	Up 0.0040(0.49%)	134,417
ENEL.MI	Enel SpA	3.7340 11:35AM EDT	Down 0.24 (6.04%)	95,704,584
ENG.MI	Engineering Ingegneria Informatica S.p.A.	51.20 11:25AM EDT	Down 1.80 (3.40%)	27,471
ENI.MI	Eni SpA	13.14 11:39AM EDT	Down 1.14 (7.98%)	43,344,068
ERG.MI	ERG SpA	12.02 11:25AM EDT	Down 0.45 (3.61%)	593,303
ES.MI	Gruppo Editoriale L' Espresso SpA	0.9140 11:36AM EDT	Down 0.0310 (3.28%)	959,101
ETH.MI	Eurotech SpA	1.6150 11:25AM EDT	Down 0.0390 (2.36%)	129,197
EXO.MI	Exor S.p.A.	38.79 11:34AM EDT	Down 2.24 (5.46%)	982,478
FDA.MI	FIDIA SpA	6.18 11:25AM EDT	Down 0.22 (3.44%)	40,213
FKR.MI	FALCK RENEWABLES	1.07 11:25AM EDT	Down 0.05 (4.55%)	1,139,408
FM.MI	Fiera Milano SpA.	4.31 11:25AM EDT	Down 0.38 (8.10%)	84,121
FNC.MI	Finmeccanica SpA	11.15 11:34AM EDT	Down 0.45 (3.88%)	6,496,058
FNM.MI	FNM SpA	0.51 11:25AM EDT	Down 0.04 (6.42%)	516,389
FUL.MI	Fullsix S.p.A.	1.8390 11:25AM EDT	Down 0.0190 (1.02%)	3,700
G.MI	Assicurazioni Generali S.p.A.	15.80 11:35AM EDT	Down 0.86 (5.16%)	19,422,206
GE.MI	Gefran SpA	2.8040 11:25AM EDT	Down 0.1440 (4.88%)	16,179
