#	Components for ITSC.MI
#	http://finance.yahoo.com/q/cp?s=ITSC.MI&c=2
#
#Symbol	Name	Last Trade	Change	Volume
ACO.MI	Acotel Group SpA	9.82 11:25AM EDT	Down 0.61 (5.80%)	12,419
ACS.MI	Acsm-Agam S.p.A.	1.40 11:25AM EDT	Down 0.04 (3.05%)	49,697
AEF.MI	Aeffe S.p.A.	1.49 11:25AM EDT	Down 0.13 (8.14%)	417,337
APE.MI	Alba Private Equity S.p.A.	2.95 11:25AM EDT	Up 0.09 (3.07%)	154
ARN.MI	Alerion Clean Power SpA	2.73 11:24AM EDT	Down 0.15 (5.14%)	53,687
ASR.MI	A.S. Roma S.P.A.	0.58 11:25AM EDT	Down 0.07 (10.08%)	2,349,707
ATH.MI	AMBIENTHESIS	0.44 11:25AM EDT	Down 0.02 (5.04%)	151,297
AUTME.MI	Autostrade Meridionali S.p.A.	17.70 11:25AM EDT	Down 0.44 (2.43%)	3,588
B.MI	Bastogi S.p.A.	1.57 11:25AM EDT	Down 0.14 (8.12%)	29,377
BAN.MI	BasicNet SpA	3.44 11:25AM EDT	Down 0.14 (3.91%)	145,532
BANZ.MI	Banzai S.p.A.	4.85 11:25AM EDT	Down 0.11 (2.14%)	99,819
BCM.MI	Biancamano S.p.A.	0.40 11:25AM EDT	Down 0.02 (5.44%)	56,847
BDB.MI	Banco di Desio e della Brianza S.p.A.	3.37 11:25AM EDT	Down 0.03 (0.88%)	81,970
BE.MI	Beghelli SpA	0.40 11:25AM EDT	Down 0.02 (3.67%)	273,971
BEC.MI	B&C Speakers S.p.A.	6.70 11:25AM EDT	Down 0.38 (5.37%)	12,535
BEST.MI	Best Union Company SpA	2.16 11:25AM EDT	Down 0.07 (3.14%)	11,554
BET.MI	Be Think Solve Execute SpA	0.50 11:34AM EDT	Down 0.03 (5.21%)	714,715
BF.MI	Bonifiche Ferraresi S.p.A. Società Agricola	23.66 11:25AM EDT	Down 1.00 (4.06%)	1,121
BFE.MI	Banca Finnat Euramerica S.p.A.	0.46 11:25AM EDT	Down 0.01 (2.34%)	259,958
BIA.MI	Bialetti Industrie S.p.A	0.36 11:25AM EDT	Down 0.03 (8.15%)	954,215
BIE.MI	Bioera S.p.a	0.40 11:25AM EDT	Down 0.03 (6.98%)	283,026
BLZ.MI	Bolzoni SpA	3.27 11:25AM EDT	Down 0.29 (8.20%)	40,819
BRI.MI	Brioschi Sviluppo Immobiliare spa	0.09 11:25AM EDT	Down 0.01 (7.68%)	692,899
BSRP.MI	Banco di Sardegna S.p.A.	9.90 11:25AM EDT	Down 0.21 (2.08%)	2,330
BSS.MI	Biesse S.p.A.	14.40 11:25AM EDT	Down 0.78 (5.14%)	180,083
CAD.MI	CAD IT SpA	4.04 11:25AM EDT	Down 0.07 (1.65%)	3,845
CARR.MI	Carraro SpA	1.66 11:25AM EDT	Down 0.08 (4.48%)	50,208
CHL.MI	Centro HL Distribuzione S.p.A.	0.04 11:25AM EDT	Down 0.00 (6.63%)	1,254,721
CIA.MI	Compagnia Immobiliare Azionaria S.p.A.	0.25 11:25AM EDT	Down 0.01 (2.35%)	49,080
CLE.MI	Class Editori SpA	0.81 11:25AM EDT	Down 0.05 (5.52%)	246,821
CLF.MI	Caleffi S.p.A.	0.86 11:25AM EDT	Down 0.05 (5.49%)	45,229
CLT.MI	Centrale del Latte di Torino & C. S.p.A.	3.12 11:25AM EDT	Down 0.23 (6.87%)	72,005
CMB.MI	Cembre S.p.A.	12.96 11:25AM EDT	Down 0.34 (2.56%)	12,596
CNP.MI	Conafi Prestito S.p.A.	0.31 11:36AM EDT	Down 0.00 (0.86%)	65,135
COF.MI	COFIDE - Gruppo De Benedetti SpA	0.40 11:25AM EDT	Down 0.02 (5.55%)	247,722
CSP.MI	CSP International Fashion Group SpA	1.26 11:25AM EDT	Down 0.07 (5.14%)	27,755
DA.MI	DADA SpA	2.59 11:36AM EDT	Down 0.05 (1.75%)	10,091
DIB.MI	Digital Bros S.p.A.	9.22 11:25AM EDT	Down 1.10 (10.66%)	134,236
DIS.MI	D'Amico International Shipping S.A.	0.66 11:25AM EDT	Down 0.02 (2.31%)	3,470,272
DLC.MI	DeLclima S.p.A.	2.40 11:25AM EDT	Down 0.11 (4.46%)	450,454
DMA.MI	DMAIL GROUP S.p.A.	2.07 11:25AM EDT	Down 0.01 (0.67%)	9,360
DMN.MI	Damiani SpA	1.31 11:25AM EDT	Down 0.09 (6.15%)	112,118
ECA.MI	ErgyCapital S.p.A.	0.09 11:25AM EDT	Down 0.01 (5.48%)	483,055
EDNR.MI	Edison S.p.A.	0.72 11:25AM EDT	Down 0.03 (3.49%)	274,799
EEMS.MI	EEMS Italia SpA	0.13 11:25AM EDT	Down 0.01 (5.63%)	2,038,926
ELC.MI	Elica SpA	1.88 11:25AM EDT	Down 0.01 (0.42%)	140,188
ELN.MI	EL.EN. SocietÃ  per Azioni	37.64 11:25AM EDT	Down 2.37 (5.92%)	25,415
EM.MI	Emak SpA	0.82 11:25AM EDT	Up 0.00 (0.49%)	134,417
ENV.MI	Enervit S.p.A.	3.07 11:25AM EDT	Down 0.04 (1.41%)	3,193
